iter	RMSE
511	0.2783030564
512	0.2778897894
513	0.2774340045
514	0.2765026659
515	0.2760954858
516	0.2753232264
517	0.2749879506
518	0.2745938217
519	0.274129609
520	0.2738571313
521	0.2733530137
522	0.2728336341
523	0.2725932609
524	0.2719969025
525	0.2715750277
526	0.2711643123
527	0.2710184312
528	0.2706151343
529	0.2701813002
530	0.2694711752
531	0.2691282735
532	0.2686766245
533	0.2678243278
534	0.2673303931
535	0.2668425034
536	0.2666630472
537	0.2663652413
538	0.2659968142
539	0.265613475
540	0.2653004473
541	0.2647235044
542	0.2640679403
543	0.2632421987
544	0.2627604727
545	0.2622702341
546	0.2617737014
547	0.2613226335
548	0.2609229858
549	0.2607850765
550	0.2602312916
551	0.2598768394
552	0.2596942537
553	0.259038259
554	0.2584406717
555	0.2578990861
556	0.2573279873
557	0.2569156938
558	0.2564111607
559	0.2557520054
560	0.2553974041
561	0.2549524552
562	0.2544745302
563	0.2541401443
564	0.2535579949
565	0.25302952
566	0.2524944464
567	0.2521400398
568	0.2515962125
569	0.2510865729
570	0.2506900034
571	0.2500826132
572	0.2496340568
573	0.2491053063
574	0.2489499186
575	0.2487806887
576	0.2481799808
577	0.2475193541
578	0.247082374
579	0.2465737427
580	0.2461615375
581	0.2458185088
582	0.2455528053
583	0.2448343999
584	0.244269691
585	0.2439361681
586	0.2433732049
587	0.2430509974
588	0.2427056908
589	0.2419286843
590	0.2414078717
591	0.2408497172
592	0.2405470215
593	0.2402681559
594	0.2398907954
595	0.2395254644
596	0.238916616
597	0.2384779972
598	0.2381871862
599	0.2375342754
600	0.2371453161
601	0.236747255
602	0.2360596769
603	0.235770637
604	0.2354734443
605	0.235044865
606	0.2345232615
607	0.2343561412
608	0.2337968304
609	0.233476241
610	0.2331115413
611	0.2328299469
612	0.232526154
613	0.232072839
614	0.2315295982
615	0.2309309055
616	0.2305536329
617	0.2303009457
618	0.2300418694
619	0.2295898994
620	0.2291737971
621	0.2290782233
622	0.2287604779
623	0.2285891
624	0.2281099434
625	0.2277241591
626	0.2273949641
627	0.2271551897
628	0.2268039057
629	0.2263573755
630	0.225875107
631	0.2257609874
632	0.2252923749
633	0.2249882902
634	0.2244428053
635	0.224035271
636	0.2238832671
637	0.223427335
638	0.2232854745
639	0.2229761162
640	0.2226222977
641	0.222241872
642	0.2216018525
643	0.2215189927
644	0.2212056824
645	0.220748239
646	0.2203858584
647	0.2199449898
648	0.2194457962
649	0.2191403478
650	0.2186213986
651	0.2181716813
652	0.2175933314
653	0.2172631109
654	0.2171577775
655	0.217040004
656	0.2166473427
657	0.2162569338
658	0.2158526202
659	0.2156198974
660	0.2152729119
661	0.2149874048
662	0.2145462709
663	0.2142140257
664	0.2139674943
665	0.2138030426
666	0.213691213
667	0.2132731717
668	0.213039981
669	0.2128920873
670	0.2125298284
671	0.2119250802
672	0.211827939
673	0.2114648285
674	0.2111897531
675	0.2109474689
676	0.2106698325
677	0.2105994116
678	0.210272377
679	0.209884334
680	0.2096408282
681	0.2091911202
682	0.2089116325
683	0.2088165243
684	0.2084189817
685	0.2080370351
686	0.2077072454
687	0.2076304982
688	0.2072929519
689	0.207030319
690	0.2068509596
691	0.2065972056
692	0.2062175521
693	0.2060503616
694	0.2056170512
695	0.2050958717
696	0.2046907215
697	0.2044613762
698	0.2041106188
699	0.2038474652
700	0.2036011474
701	0.2030602661
702	0.2028018029
703	0.2027109794
704	0.2024454829
705	0.2021561575
706	0.2019486953
707	0.2016489848
708	0.2012817458
709	0.2009822214
710	0.2004892341
711	0.2001522608
712	0.1999511846
713	0.1997134156
714	0.1996692299
715	0.1994788971
716	0.1990908371
717	0.1985806659
718	0.1983516963
719	0.1981236762
720	0.1976814423
721	0.1973351079
722	0.1968721256
723	0.1967814916
724	0.1964982505
725	0.1960548042
726	0.1958421445
727	0.1954627708
728	0.1950247434
729	0.1946710222
730	0.1942831489
731	0.19409324
732	0.1937802084
733	0.1932234878
734	0.1929121758
735	0.1924565534
736	0.1920895243
737	0.1920005399
738	0.1917490855
739	0.1913877047
740	0.191118946
741	0.190740785
742	0.1905178365
743	0.1902949801
744	0.1900411363
745	0.1897195406
746	0.1896576197
747	0.1895098155
748	0.1894273459
749	0.1892065053
750	0.1888973409
751	0.1885882666
752	0.1883042357
753	0.187847683
754	0.1877419537
755	0.1875150406
756	0.187196975
757	0.1869749966
758	0.1867730359
759	0.1863209165
760	0.1859934591
761	0.1858677335
762	0.1857525663
763	0.1855615832
764	0.1852459024
765	0.184753128
766	0.1844636225
767	0.1841370606
768	0.1839244141
769	0.1835050174
770	0.183312146
771	0.1830700688
772	0.1829835377
773	0.1827692618
774	0.1823581116
775	0.1823231909
776	0.1820523632
777	0.1818928365
778	0.1818213583
779	0.1815510503
780	0.1813571981
781	0.1812826041
782	0.1808124922
783	0.1805234025
784	0.1803784337
785	0.1797318761
786	0.1794979964
787	0.1793438306
788	0.1790287009
789	0.1787255874
790	0.1784954514
791	0.1782593155
792	0.1778555036
793	0.1775996485
794	0.1775556367
795	0.1774885201
796	0.1773507306
797	0.1771344664
798	0.1768392713
799	0.1766009219
800	0.176527507
801	0.1762560705
802	0.1761256183
803	0.1757422627
804	0.1755101967
805	0.1753385031
806	0.1752319957
807	0.1750395553
808	0.1745172748
809	0.1739534815
810	0.1739035259
811	0.1737200855
812	0.1734536868
813	0.1732776867
814	0.1730791813
815	0.1727890398
816	0.1727414723
817	0.1724525734
818	0.1724141544
819	0.1723500687
820	0.1720535141
821	0.1718382376
822	0.1715784209
823	0.1712269444
824	0.1711585965
825	0.1709733329
826	0.1704826281
827	0.1701765306
828	0.169978518
829	0.169687127
830	0.1695097971
831	0.1692719392
832	0.1692248716
833	0.1691104912
834	0.1688943184
835	0.1686380861
836	0.168376332
837	0.1683068798
838	0.1680977109
839	0.1679131689
840	0.1675571451
841	0.1672960766
842	0.167265437
843	0.1672135437
844	0.166778507
845	0.1667142146
846	0.1665411194
847	0.1659284841
848	0.1657585414
849	0.1655372668
850	0.1653167192
851	0.1649963977
852	0.1649407178
853	0.1646509033
854	0.1643389986
855	0.1642774159
856	0.1639189267
857	0.1636747251
858	0.1635892997
859	0.1633919485
860	0.1630584887
861	0.162799461
862	0.1624633407
863	0.1621180055
864	0.1618266862
865	0.1615972836
866	0.1615032614
867	0.1613133889
868	0.1611409596
869	0.1608500748
870	0.1606103001
871	0.1604191241
872	0.1601680034
873	0.1598958935
874	0.1598275386
875	0.1594497283
876	0.159011793
877	0.1587966915
878	0.1585571068
879	0.1581434399
880	0.1579027989
881	0.1576595845
882	0.1574908494
883	0.1572670252
884	0.157146669
885	0.1568783534
886	0.156655265
887	0.156447967
888	0.1562433736
889	0.1561217605
890	0.1560615438
891	0.1559040837
892	0.1557855107
893	0.1555366504
894	0.1553431779
895	0.1551076013
896	0.1548715921
897	0.1547138477
898	0.1544922502
899	0.1543163839
900	0.1540372128
901	0.153978687
902	0.1536906911
903	0.1533250643
904	0.1531093853
905	0.1529699224
906	0.1527850675
907	0.1525561599
908	0.1521305891
909	0.1520746739
910	0.1519186103
911	0.1517038652
912	0.1515588569
913	0.1514285478
914	0.1510226966
915	0.1506463326
916	0.1504587967
917	0.1501349328
918	0.1499410999
919	0.149506514
920	0.1493583548
921	0.1491463512
922	0.1489789492
923	0.1488159499
924	0.1483796273
925	0.1481890332
926	0.1479494164
927	0.1477628429
928	0.1475186663
929	0.1472850877
930	0.1472303728
931	0.1470604093
932	0.1468713801
933	0.1468354436
934	0.1467785221
935	0.1464749596
936	0.1460914186
937	0.145846528
938	0.1456030901
939	0.1452525111
940	0.1448266321
941	0.1447154198
942	0.144587949
943	0.1444384484
944	0.1443905428
945	0.1441580679
946	0.1439712606
947	0.1438466512
948	0.1436624578
949	0.1435377931
950	0.1432454119
951	0.1431940166
952	0.1430140114
953	0.1427568477
954	0.1427163298
955	0.1423634869
956	0.1422258611
957	0.1420864221
958	0.1419016362
959	0.1417387881
960	0.1415744422
961	0.1412870297
962	0.1411534087
963	0.1408764668
964	0.1408319804
965	0.1405874744
966	0.1401278859
967	0.1400979788
968	0.1399114568
969	0.139548223
970	0.1393773615
971	0.1392264784
972	0.139074228
973	0.1390286092
974	0.1388857536
975	0.1386962099
976	0.138452164
977	0.138190224
978	0.137993334
979	0.1378377792
980	0.1376486939
981	0.1375670725
982	0.1374372152
983	0.1372162242
984	0.1369585931
985	0.1367893714
986	0.1364269266
987	0.1362404553
988	0.1359472275
989	0.13575044
990	0.1356002457
991	0.1353654418
992	0.135169659
993	0.1350797656
994	0.1348805599
995	0.134473151
996	0.1343161403
997	0.1341804335
998	0.1341576698
999	0.134014719
